x y z
-126.814746 -43.026091 123.977151
-126.814746 -40.514054 123.009856
-126.814746 -38.002017 113.695526
-126.814746 -35.489980 111.821124
-126.814746 -32.977943 111.303478
-126.814746 -30.465906 105.488839
-126.814746 -27.953869 110.278169
-126.814746 -25.441833 113.494365
-126.814746 -22.929796 102.242288
-126.814746 -20.417759 108.854291
-126.814746 -17.905722 102.294398
-126.814746 -15.393685 100.225486
-126.814746 -12.881648 94.856158
-126.814746 -10.369611 94.801242
-126.814746 -7.857574 87.090943
-126.814746 -5.345537 87.630278
-126.814746 -2.833500 85.747424
-126.814746 -0.321463 86.614129
-126.814746 2.190573 78.092902
-126.814746 4.702610 78.184295
-126.814746 7.214647 76.319818
-126.814746 9.726684 76.499486
-126.814746 12.238721 78.239159
-126.814746 14.750758 82.552432
-126.814746 17.262795 86.747281
-126.814746 19.774832 74.536195
-126.814746 22.286869 75.743884
-126.814746 24.798906 82.373915
-126.814746 27.310943 69.420925
-126.814746 29.822980 66.978711
-126.814746 32.335016 67.305514
-126.814746 34.847053 65.710952
-126.814746 37.359090 64.258031
-126.814746 39.871127 62.798869
-126.814746 42.383164 64.694795
-126.814746 44.895201 68.516381
-126.814746 47.407238 65.665483
-126.814746 49.919275 63.454213
-126.814746 52.431312 67.498508
-126.814746 54.943349 67.854003
-126.814746 57.455386 66.482307
-126.814746 59.967422 65.023300
-126.814746 62.479459 63.596012
-126.814746 64.991496 62.130994
-126.814746 67.503533 60.647608
-126.814746 70.015570 59.227169
-126.814746 72.527607 57.870548
-126.814746 75.039644 53.990957
-126.814746 77.551681 54.774434
-126.814746 80.063718 55.319898
-126.814746 82.575755 43.830219
-126.814746 85.087792 47.599357
-126.814746 87.599829 51.708535
-126.814746 90.111865 44.048310
-126.814746 92.623902 43.510984
-126.814746 95.135939 45.596600
-126.814746 97.647976 44.186631
-126.814746 100.160013 40.215125
-126.814746 102.672050 40.463144
-126.814746 105.184087 37.430972
-126.814746 107.696124 35.243335
-126.814746 110.208161 35.297765
-126.814746 112.720198 32.476274
-126.814746 115.232235 30.950362
-126.814746 117.744271 30.847351
-126.814746 120.256308 32.207395
-126.814746 122.768345 30.450154
-126.814746 125.280382 28.982977
-126.814746 127.792419 27.527175
-126.814746 130.304456 26.076708
-126.814746 132.816493 24.620131
-126.814746 135.328530 23.163994
-126.814746 137.840567 21.719664
-126.814746 140.352604 20.895124
-126.814746 142.864641 20.381888
-126.814746 145.376677 20.874514
-126.814746 147.888714 19.385130
-126.814746 150.400751 17.701643
-126.814746 152.912788 18.512693
-126.814746 155.424825 16.745251
-126.814746 157.936862 15.285295
-126.814746 160.448899 13.829309
-124.087576 -78.194608 137.747673
-124.087576 -75.682571 137.852603
-124.087576 -73.170534 142.259984
-124.087576 -70.658497 140.429075
-124.087576 -68.146460 137.790908
-124.087576 -65.634423 137.341510
-124.087576 -63.122386 135.335845
-124.087576 -60.610349 133.377114
-124.087576 -58.098312 133.468519
-124.087576 -55.586275 131.933144
-124.087576 -53.074239 130.541466
-124.087576 -50.562202 129.276480
-124.087576 -48.050165 127.391864
-124.087576 -45.538128 126.144049
-124.087576 -43.026091 124.915346
-124.087576 -40.514054 126.547952
-124.087576 -38.002017 113.016532
-124.087576 -35.489980 117.473675
-124.087576 -32.977943 109.610939
-124.087576 -30.465906 118.189222
-124.087576 -27.953869 112.999215
-124.087576 -25.441833 106.187964
-124.087576 -22.929796 112.322407
-124.087576 -20.417759 105.277593
-124.087576 -17.905722 97.713278
-124.087576 -15.393685 97.110929
-124.087576 -12.881648 90.375260
-124.087576 -10.369611 95.312284
-124.087576 -7.857574 92.256692
